name,published_at,data
dataStream,2015-11-17T07:06:13.936Z,1879;26;866
dataStream,2015-11-17T07:07:13.938Z,1876;25;887
dataStream,2015-11-17T07:08:13.936Z,1872;25;898
dataStream,2015-11-17T07:09:13.938Z,1881;25;911
dataStream,2015-11-17T07:10:13.938Z,1884;25;924
dataStream,2015-11-17T07:11:13.939Z,1871;25;902
dataStream,2015-11-17T07:12:13.939Z,1888;26;885
dataStream,2015-11-17T07:13:13.938Z,1887;26;861
dataStream,2015-11-17T07:14:13.937Z,1879;25;888
dataStream,2015-11-17T07:15:13.941Z,1879;26;882
dataStream,2015-11-17T07:16:13.938Z,1876;26;903
dataStream,2015-11-17T07:17:13.939Z,1890;26;869
dataStream,2015-11-17T07:18:14.037Z,1879;25;885
dataStream,2015-11-17T07:19:13.937Z,1895;26;924
dataStream,2015-11-17T07:20:13.939Z,1885;26;873
dataStream,2015-11-17T07:21:13.939Z,1878;26;873
dataStream,2015-11-17T07:22:13.941Z,1899;26;873
dataStream,2015-11-17T07:23:13.939Z,1891;26;890
dataStream,2015-11-17T07:24:13.939Z,1896;26;923
dataStream,2015-11-17T07:25:13.938Z,1873;26;906
dataStream,2015-11-17T07:26:13.940Z,1895;26;870
dataStream,2015-11-17T07:27:13.939Z,1892;26;924
dataStream,2015-11-17T07:28:13.940Z,1899;26;924
dataStream,2015-11-17T07:29:13.939Z,1878;26;885
dataStream,2015-11-17T07:30:13.940Z,1872;25;919
dataStream,2015-11-17T07:31:13.940Z,1911;26;919
dataStream,2015-11-17T07:32:13.941Z,1873;25;900
dataStream,2015-11-17T07:33:13.941Z,1910;26;865
dataStream,2015-11-17T07:34:13.942Z,1868;26;893
dataStream,2015-11-17T07:35:13.940Z,1905;26;892
dataStream,2015-11-17T07:36:13.940Z,1916;26;913
dataStream,2015-11-17T07:37:13.946Z,1918;26;919
dataStream,2015-11-17T07:38:13.941Z,1896;25;928
dataStream,2015-11-17T07:39:13.940Z,1916;26;882
dataStream,2015-11-17T07:40:13.943Z,1947;26;877
dataStream,2015-11-17T07:41:13.940Z,1971;26;877
dataStream,2015-11-17T07:42:13.942Z,1969;26;868
dataStream,2015-11-17T07:43:13.942Z,1967;25;893
dataStream,2015-11-17T07:44:13.942Z,1975;26;876
dataStream,2015-11-17T07:45:13.942Z,1973;26;884
dataStream,2015-11-17T07:46:13.942Z,1982;26;929
dataStream,2015-11-17T07:47:13.942Z,1978;26;922
dataStream,2015-11-17T07:48:13.943Z,1970;26;916
dataStream,2015-11-17T07:49:13.941Z,1964;26;872
dataStream,2015-11-17T07:50:13.942Z,1931;26;935
dataStream,2015-11-17T07:51:13.945Z,1928;26;876
dataStream,2015-11-17T07:52:13.943Z,1922;26;885
dataStream,2015-11-17T07:53:13.944Z,1906;26;919
dataStream,2015-11-17T07:54:13.943Z,1903;25;903
dataStream,2015-11-17T07:55:13.942Z,1920;26;918
dataStream,2015-11-17T07:56:13.944Z,1916;25;902
dataStream,2015-11-17T07:57:13.943Z,1908;25;915
dataStream,2015-11-17T07:58:13.944Z,1902;25;913
dataStream,2015-11-17T07:59:13.944Z,1898;26;891
dataStream,2015-11-17T08:00:13.944Z,1905;26;924
dataStream,2015-11-17T08:01:13.943Z,1948;26;907
dataStream,2015-11-17T08:02:13.944Z,1923;26;880
dataStream,2015-11-17T08:03:13.943Z,1931;26;926
dataStream,2015-11-17T08:04:13.945Z,1923;26;926
dataStream,2015-11-17T08:05:13.948Z,1933;26;917
dataStream,2015-11-17T08:06:13.955Z,1947;26;924
dataStream,2015-11-17T08:07:13.944Z,1942;26;881
dataStream,2015-11-17T08:08:13.944Z,1974;26;932
dataStream,2015-11-17T08:09:13.944Z,1998;26;922
dataStream,2015-11-17T08:10:13.946Z,1990;26;885
dataStream,2015-11-17T08:11:13.945Z,2004;26;919
dataStream,2015-11-17T08:12:13.946Z,2024;26;874
dataStream,2015-11-17T08:13:13.945Z,2030;26;930
dataStream,2015-11-17T08:14:13.947Z,2017;26;933
dataStream,2015-11-17T08:15:13.946Z,2026;26;877
dataStream,2015-11-17T08:16:13.948Z,1992;26;877
dataStream,2015-11-17T08:17:13.945Z,1987;26;916
dataStream,2015-11-17T08:18:13.949Z,2018;26;875
dataStream,2015-11-17T08:19:13.946Z,1989;25;918
dataStream,2015-11-17T08:20:13.948Z,2006;26;875
dataStream,2015-11-17T08:21:13.946Z,1989;26;888
dataStream,2015-11-17T08:22:13.947Z,1993;26;924
dataStream,2015-11-17T08:23:13.951Z,2006;26;885
dataStream,2015-11-17T08:24:13.947Z,1999;26;926
dataStream,2015-11-17T08:25:13.947Z,1976;26;933
dataStream,2015-11-17T08:26:13.949Z,950;26;890
dataStream,2015-11-17T08:27:13.950Z,950;26;927
dataStream,2015-11-17T08:28:13.948Z,1000;26;938
dataStream,2015-11-17T08:29:13.948Z,1050;26;917
dataStream,2015-11-17T08:30:13.949Z,1150;26;934
dataStream,2015-11-17T08:31:13.948Z,1300;26;906
dataStream,2015-11-17T08:32:13.948Z,1350;26;904
dataStream,2015-11-17T08:33:13.947Z,1387;26;915
dataStream,2015-11-17T08:34:13.952Z,1300;26;878
dataStream,2015-11-17T08:35:13.949Z,1234;26;883
dataStream,2015-11-17T08:36:13.950Z,1100;26;936
dataStream,2015-11-17T08:37:13.951Z,1200;26;932
dataStream,2015-11-17T08:38:13.950Z,1300;25;917
dataStream,2015-11-17T08:39:13.949Z,1250;26;925
dataStream,2015-11-17T08:40:13.951Z,1250;26;893
dataStream,2015-11-17T08:41:13.948Z,1150;26;878
dataStream,2015-11-17T08:42:13.950Z,1050;26;928
dataStream,2015-11-17T08:43:13.949Z,1000;26;877
dataStream,2015-11-17T08:44:13.950Z,1000;26;918
